ResponseID,Timestamp,Q1_Age,Q2_Gender,Q3_City,Q4_Occupation,Q5_Income,Q6_Education,Q7_Awareness,Q8_Purchase,Q9_Motivation,Q10_BrowseFrequency,Q12_BiggestConcern,Q13_AuthImportance,Q19_Mechanism,Q20_Community,Q25_Discovery,Q26_ShoppingTime,Q27_DecisionSpeed,Q28_Influence,Q29_MaxSpent,Q30_Sneakers_WTP,Q30_Watches_WTP,Q30_Cards_WTP,Q31_HobbySpending,Q32_IncomePercent,Q33_EMI,Q34_Likelihood,Q35_Recommend,Q36_When,Q37_OneFeature,Q38_Suggestions,Q11_Instagram_Facebook_Groups,Q11_OLX_Quikr,Q11_Retail_Stores,Q11_International_Platforms,Q11_Friends_Personal_Network,Q11_Local_Meetups_Events,Q11_Don't_buy_sell,Q11_Other,Q14_Limited_Edition_Sneakers,Q14_Luxury_Watches,Q14_Affordable_Fashion_Watches,Q14_Sports_Trading_Cards,Q14_Pokemon_Gaming_Cards,Q14_Streetwear,Q14_Collectible_Toys,Q14_Vintage_Items,Q14_Art_Prints_Posters,Q14_Comic_Books,Q14_None,Q15_Limited_edition_releases,Q15_Brand_collaborations,Q15_Resale_value_Investment,Q15_Personal_style_fashion,Q15_Rarity,Q15_Brand_loyalty,Q15_Not_interested,Q16_Luxury_1L+,Q16_Mid_range_20K_1L,Q16_Affordable_Below_20K,Q16_Vintage_watches,Q16_Smart_watches,Q16_Limited_editions,Q16_Not_interested,Q17_Cricket_cards,Q17_Football_Soccer_cards,Q17_Basketball_cards,Q17_Pokemon_cards,Q17_Other_gaming_cards,Q17_Not_interested,Q18_Brand_New_Deadstock,Q18_Gently_Used_9_10,Q18_Used_7-8_10,Q18_Vintage_Pre-owned,Q18_Only_Brand_New,Q21_Physical_authentication_centers,Q21_Money-back_guarantee,Q21_Verified_seller_badges,Q21_User_reviews_ratings,Q21_Partnership_with_brands,Q21_Insurance_on_items,Q21_Transparent_fee_structure,Q21_Celebrity_Influencer_endorsement,Q21_Video_proof_of_authentication,Q22_UPI,Q22_Credit_Debit_Card,Q22_Net_Banking,Q22_EMI_Options,Q22_Cash_on_Delivery,Q22_Digital_Wallets,Q22_Cryptocurrency,Q23_Price_history_tracking,Q23_Authentication_certificate,Q23_Seller_ratings,Q23_Real-time_bidding,Q23_Mobile_app,Q23_Wishlist_Save_items,Q23_Price_alerts,Q23_Video_authentication_proof,Q23_Community_forums,Q23_Return_Refund_policy,Q23_Secure_packaging,Q24_Storage_Vault_service,Q24_Authentication-only_service,Q24_Collectible_insurance,Q24_Market_value_appraisal,Q24_Cleaning_restoration_service,Q24_Consignment_selling,Q24_None
1,2024-01-01 00:00:00,23-27,Male,Chennai,Unemployed,3-6 Lakhs,Graduate,"Yes, very aware","No, but interested",N/A,Once a week,High prices,Extremely important,Live Auction,Very important,Friends/Word of mouth,Evening (5 PM - 9 PM),Moderate (1-3 days),Personal desire/passion,Below 2000,4399,8060,3445,5000-10000,Less than 5%,"Yes, if interest-free",Very likely,Probably yes,Within first month,Transparent pricing with no hidden charges,Need strong anti-fraud measures,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0
2,2024-01-01 01:00:00,46+,Male,Mumbai,Self-Employed/Business Owner,6-10 Lakhs,Post-Graduate,Somewhat aware,"Yes, multiple times",Personal collection/hobby,Daily,High prices,Somewhat important,Bid/Ask System,Somewhat important,Social media,Evening (5 PM - 9 PM),Moderate (1-3 days),Personal desire/passion,Below 2000,4759,16407,6973,Below 1000,10-15%,"No, prefer full payment",Very likely,Not sure,Within first month,Guaranteed authenticity with certificate,"Good concept, execution will be key",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0
3,2024-01-01 02:00:00,33-37,Male,Mumbai,Employed (Private Sector),10-15 Lakhs,Undergraduate,"Yes, very aware","Yes, multiple times",Personal collection/hobby,Rarely,High prices,Somewhat important,Fixed Price Marketplace,Neutral,Friends/Word of mouth,Evening (5 PM - 9 PM),Impulsive (within minutes),Rarity/Exclusivity,5000-10000,7689,5268,2330,Below 1000,10-15%,Maybe,Very likely,Probably yes,After 3-6 months,Verified seller ratings,Video authentication would be great,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
4,2024-01-01 03:00:00,28-32,Male,Delhi/NCR,Employed (Private Sector),6-10 Lakhs,Graduate,"Yes, very aware","No, not interested",N/A,Never,Shipping damage,Very important,Live Auction,Neutral,Online forums/communities,Evening (5 PM - 9 PM),Quick (same day),Price/Good deal,Never purchased,7779,39397,6459,5000-10000,5-10%,Maybe,Somewhat likely,"Yes, definitely",After 6-12 months,Fast and secure delivery,Focus on user experience,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0
5,2024-01-01 04:00:00,23-27,Male,Bangalore,Employed (Private Sector),6-10 Lakhs,Graduate,"Yes, very aware","Yes, multiple times",Nostalgia,Never,High prices,Extremely important,Live Auction,Somewhat important,Friends/Word of mouth,Afternoon (12 PM - 5 PM),Impulsive (within minutes),Resale value,5000-10000,7967,46896,8741,5000-10000,Less than 5%,"Yes, if interest-free",Definitely will use,Probably yes,Within first month,Fast and secure delivery,Make sure customer service is responsive,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
6,2024-01-01 05:00:00,23-27,Male,Chennai,Self-Employed/Business Owner,6-10 Lakhs,Post-Graduate,"Yes, very aware","Yes, once or twice",Personal collection/hobby,Rarely,High prices,Not very important,No preference,Very important,Online forums/communities,Evening (5 PM - 9 PM),Quick (same day),Investment potential,25000-50000,7875,31853,2718,5000-10000,5-10%,"Yes, if interest-free",Somewhat likely,Probably yes,After 3-6 months,Expert authentication team,Partnership with authorized retailers would help,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
7,2024-01-01 06:00:00,18-22,Male,Hyderabad,Employed (Government),Below 3 Lakhs,Post-Graduate,Heard about it but don't know much,"No, but interested",N/A,Once a month,Payment security,Extremely important,Hybrid,Somewhat important,Social media,Evening (5 PM - 9 PM),Moderate (1-3 days),Personal desire/passion,Below 2000,7741,3597,1646,10000-20000,More than 20%,"No, prefer full payment",Somewhat likely,Probably yes,After 3-6 months,Insurance on high-value items,Would love to see rare collectibles,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
8,2024-01-01 07:00:00,38-45,Male,Bangalore,Employed (Private Sector),6-10 Lakhs,High School,"Yes, very aware","Yes, once or twice",Social status/showing off,Once a month,Authenticity/Fake products,Extremely important,Fixed Price Marketplace,Very important,Social media,Evening (5 PM - 9 PM),Moderate (1-3 days),Price/Good deal,2000-5000,8695,32836,6447,Below 1000,5-10%,Maybe,Definitely will use,"Yes, definitely",Immediately,Verified seller ratings,Hope shipping is secure and insured,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0
9,2024-01-01 08:00:00,28-32,Male,Delhi/NCR,Employed (Private Sector),Above 50 Lakhs,Graduate,Heard about it but don't know much,"Yes, multiple times",Investment/resale value,2-3 times a week,Authenticity/Fake products,Extremely important,Hybrid,Very important,News websites,Night (9 PM - 12 AM),Moderate (1-3 days),Personal desire/passion,5000-10000,25472,219646,37264,1000-3000,0% (Not willing),"Yes, if interest-free",Definitely will use,Probably yes,Immediately,Price tracking and alerts,Interested to see how this develops,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
10,2024-01-01 09:00:00,33-37,Male,Tier 3 City,Student,6-10 Lakhs,Undergraduate,Not aware at all,"Yes, once or twice",Personal collection/hobby,Once a month,Trust in seller,Extremely important,Bid/Ask System,Neutral,Social media,Evening (5 PM - 9 PM),Moderate (1-3 days),Rarity/Exclusivity,2000-5000,3616,22122,4231,10000-20000,0% (Not willing),"Yes, if interest-free",Somewhat likely,Probably no,Within first month,Fast and secure delivery,Keep fees transparent and reasonable,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0
